matchNumber	stage	stageName	group	dateTime	home	away	city	venue	sourceStatus
1	group	小组赛	A	2026-06-12T03:00:00+08:00	墨西哥	南非	墨西哥城	Mexico City Stadium	verified
2	group	小组赛	A	2026-06-12T10:00:00+08:00	韩国	捷克	瓜达拉哈拉	Guadalajara Stadium	verified
3	group	小组赛	B	2026-06-13T03:00:00+08:00	加拿大	波黑	多伦多	Toronto Stadium	verified
4	group	小组赛	D	2026-06-13T09:00:00+08:00	美国	巴拉圭	洛杉矶	Los Angeles Stadium	verified
8	group	小组赛	B	2026-06-14T03:00:00+08:00	卡塔尔	瑞士	旧金山湾区	San Francisco Bay Area Stadium	verified
7	group	小组赛	C	2026-06-14T06:00:00+08:00	巴西	摩洛哥	纽约/新泽西	New York/New Jersey Stadium	verified
5	group	小组赛	C	2026-06-14T09:00:00+08:00	海地	苏格兰	波士顿	Boston Stadium	verified
6	group	小组赛	D	2026-06-14T12:00:00+08:00	澳大利亚	土耳其	温哥华	BC Place Vancouver	verified
10	group	小组赛	E	2026-06-15T01:00:00+08:00	德国	库拉索	休斯敦	Houston Stadium	verified
11	group	小组赛	F	2026-06-15T04:00:00+08:00	荷兰	日本	达拉斯	Dallas Stadium	verified
9	group	小组赛	E	2026-06-15T07:00:00+08:00	科特迪瓦	厄瓜多尔	费城	Philadelphia Stadium	verified
12	group	小组赛	F	2026-06-15T10:00:00+08:00	瑞典	突尼斯	蒙特雷	Monterrey Stadium	verified
14	group	小组赛	H	2026-06-16T00:00:00+08:00	西班牙	佛得角	亚特兰大	Atlanta Stadium	verified
16	group	小组赛	G	2026-06-16T03:00:00+08:00	比利时	埃及	西雅图	Seattle Stadium	verified
13	group	小组赛	H	2026-06-16T06:00:00+08:00	沙特阿拉伯	乌拉圭	迈阿密	Miami Stadium	verified
15	group	小组赛	G	2026-06-16T09:00:00+08:00	伊朗	新西兰	洛杉矶	Los Angeles Stadium	verified
17	group	小组赛	I	2026-06-17T03:00:00+08:00	法国	塞内加尔	纽约/新泽西	New York/New Jersey Stadium	verified
18	group	小组赛	I	2026-06-17T06:00:00+08:00	伊拉克	挪威	波士顿	Boston Stadium	verified
19	group	小组赛	J	2026-06-17T09:00:00+08:00	阿根廷	阿尔及利亚	堪萨斯城	Kansas City Stadium	verified
20	group	小组赛	J	2026-06-17T12:00:00+08:00	奥地利	约旦	旧金山湾区	San Francisco Bay Area Stadium	verified
